epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,796.432,0.38795,0.24945,0.79216,0.86423,0.84185,0.86107,0.62605,0.97175,0.69557,0.9832,0.000945035,0.000945035,0.000945035
55,809.631,0.40047,0.25534,0.79574,0.83012,0.817,0.8249,0.58426,0.97917,0.77867,0.98228,0.000942983,0.000942983,0.000942983
56,824.546,0.38406,0.24809,0.79289,0.8279,0.81,0.82167,0.59362,0.96966,0.70298,0.98018,0.000940895,0.000940895,0.000940895
57,840.204,0.38924,0.25349,0.78776,0.84024,0.7875,0.82125,0.58009,1.01367,0.71039,0.99463,0.000938772,0.000938772,0.000938772
58,853.941,0.41392,0.26009,0.79616,0.86728,0.82443,0.84422,0.62468,0.99186,0.72479,0.97417,0.000936614,0.000936614,0.000936614
59,867.549,0.40025,0.25362,0.79157,0.85429,0.82871,0.84749,0.6255,0.96087,0.71091,1.00509,0.000934421,0.000934421,0.000934421
60,882.711,0.38153,0.24943,0.7892,0.85147,0.83041,0.85291,0.62045,0.96725,0.71557,1.00867,0.000932194,0.000932194,0.000932194
61,897.481,0.39525,0.25212,0.79184,0.85621,0.82042,0.83975,0.6013,0.97122,0.74162,0.98106,0.000929932,0.000929932,0.000929932
62,910.54,0.38769,0.2521,0.78748,0.87136,0.84996,0.86593,0.63339,0.98705,0.71266,0.99234,0.000927636,0.000927636,0.000927636
63,924.455,0.38434,0.24929,0.79062,0.8521,0.81078,0.84875,0.61202,0.98175,0.71304,0.99202,0.000925306,0.000925306,0.000925306
64,939.143,0.37338,0.24612,0.79259,0.87776,0.82371,0.84596,0.61595,0.98212,0.71483,1.01492,0.000922942,0.000922942,0.000922942
65,954.21,0.3964,0.25281,0.79914,0.85881,0.83437,0.85135,0.6075,0.99725,0.69539,0.97917,0.000920545,0.000920545,0.000920545
66,967.13,0.3947,0.25276,0.79079,0.87113,0.8314,0.83629,0.59078,0.99654,0.71147,1.01018,0.000918114,0.000918114,0.000918114
67,981.737,0.39507,0.25618,0.79515,0.89026,0.81799,0.84275,0.59098,0.98768,0.74433,1.00399,0.000915649,0.000915649,0.000915649
68,997.104,0.4011,0.26002,0.79445,0.85946,0.82825,0.83924,0.58472,1.02966,0.72567,1.02058,0.000913152,0.000913152,0.000913152
69,1011.91,0.40148,0.25871,0.79433,0.85269,0.82879,0.82578,0.58226,0.99798,0.76557,0.99738,0.000910622,0.000910622,0.000910622
70,1024.91,0.37625,0.24914,0.79459,0.85977,0.80624,0.85122,0.61394,1.01472,0.77857,1.00974,0.000908059,0.000908059,0.000908059
71,1039.37,0.37856,0.24925,0.78604,0.86294,0.81031,0.83887,0.61304,1.00554,0.73291,1.00765,0.000905463,0.000905463,0.000905463
72,1054.76,0.36618,0.24091,0.7901,0.85158,0.82593,0.85189,0.61505,0.97937,0.77962,0.98058,0.000902836,0.000902836,0.000902836
73,1069.43,0.38194,0.24333,0.79066,0.8777,0.82321,0.85288,0.61189,0.9848,0.74992,0.98954,0.000900176,0.000900176,0.000900176
74,1082.44,0.38325,0.24249,0.78925,0.80972,0.79401,0.80685,0.57595,1.02195,0.74747,1.01543,0.000897484,0.000897484,0.000897484
75,1097.37,0.36319,0.2374,0.78867,0.88752,0.8139,0.85491,0.61323,1.01357,0.75904,1.0135,0.000894761,0.000894761,0.000894761
76,1112.58,0.36621,0.23875,0.79087,0.86654,0.8388,0.86599,0.62627,0.98129,0.74125,0.98531,0.000892007,0.000892007,0.000892007
77,1126.3,0.36483,0.23883,0.78896,0.83492,0.77521,0.80914,0.58955,0.98947,0.72596,0.99359,0.000889221,0.000889221,0.000889221
78,1139.19,0.36914,0.23735,0.79269,0.88477,0.83658,0.84206,0.60787,0.93734,0.68547,0.96664,0.000886404,0.000886404,0.000886404
79,1153.91,0.377,0.24562,0.79069,0.89456,0.81417,0.84956,0.62186,0.94366,0.69389,0.9847,0.000883557,0.000883557,0.000883557
80,1168.72,0.37787,0.24148,0.79332,0.87879,0.81543,0.82942,0.60886,0.96079,0.75013,0.99008,0.000880679,0.000880679,0.000880679
81,1183.02,0.36619,0.24125,0.7891,0.8427,0.82184,0.842,0.61343,0.94557,0.73851,0.97263,0.00087777,0.00087777,0.00087777
82,1195.99,0.35545,0.23372,0.78914,0.86637,0.84321,0.87462,0.64421,0.96647,0.75635,0.99648,0.000874832,0.000874832,0.000874832
83,1211.53,0.37425,0.24376,0.78737,0.87925,0.83072,0.86638,0.62216,0.99911,0.76282,0.99547,0.000871864,0.000871864,0.000871864
84,1226.77,0.36398,0.24,0.78868,0.86641,0.82237,0.82697,0.60545,0.98556,0.74107,0.98596,0.000868866,0.000868866,0.000868866
